bck,cen,brd
0.741051312,0.762861075,0.81659431
0.707899,0.730483735,0.787734893
0.676372152,0.699708408,0.76048763
0.646518808,0.670586005,0.73489121
0.61836193,0.643142604,0.710960079
0.591901827,0.617381715,0.68868681
0.567118879,0.593286849,0.668044771
0.543976395,0.570824263,0.64899093
0.522423516,0.549945769,0.631468695
0.502398035,0.530591493,0.615410693
0.483829074,0.512692506,0.600741391
0.466639539,0.496173277,0.587379508
0.450748327,0.480953876,0.575240191
0.436072262,0.466951932,0.564236903
0.422527741,0.454084311,0.554283047
0.410032115,0.442268536,0.54529332
0.398504792,0.431423931,0.537184789
0.387868113,0.421472543,0.529877744
0.378047999,0.412339832,0.523296326
0.368974414,0.40395517,0.51736897
0.360581656,0.396252177,0.512028681
0.352808514,0.389168906,0.507213172
0.34559831,0.382647916,0.502864893
0.338898849,0.376636246,0.498930963
0.332662297,0.37108531,0.495363044
0.326845006,0.365950745,0.492117149
0.321407302,0.361192199,0.489153426
0.316313246,0.356773111,0.486435906
0.311530376,0.352660454,0.483932242
0.307029452,0.348824482,0.481613447
0.302784194,0.345238467,0.479453621
0.298771026,0.341878448,0.477429698
0.294968831,0.33872298,0.475521194
0.29135872,0.3357529,0.473709967
0.287923812,0.332951102,0.471979997
0.284649029,0.330302333,0.470317181
0.281520909,0.327792995,0.468709136
0.278527434,0.325410974,0.467145024
0.27565787,0.323145474,0.465615395
0.272902627,0.320986871,0.464112038
0.270253129,0.318926583,0.462627847
0.2677017,0.316956949,0.461156707
0.265241458,0.315071121,0.459693385
0.262866228,0.313262974,0.458233436
0.260570454,0.311527017,0.456773118
0.258349131,0.309858319,0.455309311
0.256197739,0.308252445,0.453839452
0.254112187,0.306705395,0.452361466
0.252088764,0.305213554,0.450873717
0.250124093,0.303773647,0.449374955
0.248215094,0.302382697,0.447864269
0.246358951,0.301037994,0.446341054
0.244553083,0.299737063,0.444804968
0.242795113,0.298477635,0.443255905
0.241082851,0.297257627,0.441693965
0.239414274,0.296075122,0.440119427
0.237787503,0.294928348,0.438532727
0.236200794,0.293815664,0.436934439
0.234652522,0.292735549,0.43532525
0.233141167,0.291686585,0.433705951
0.231665308,0.290667451,0.432077415
0.230223611,0.289676912,0.430440586
0.228814822,0.28871381,0.428796464
0.22743776,0.287777058,0.427146096
0.226091309,0.286865636,0.425490561
0.224774416,0.285978579,0.423830967
0.223486081,0.28511498,0.422168434
0.222225359,0.284273979,0.420504094
0.22099135,0.283454764,0.418839079
0.219783198,0.282656564,0.417174516
0.218600089,0.281878647,0.415511522
0.217441246,0.281120318,0.413851195
0.216305928,0.280380917,0.412194617
0.215193427,0.279659813,0.410542842
0.214103067,0.278956408,0.408896896
0.213034198,0.278270127,0.407257776
0.2119862,0.277600426,0.405626443
0.210958478,0.276946782,0.404003822
0.20995046,0.276308695,0.402390799
0.208961599,0.275685689,0.400788223
0.207991368,0.275077305,0.3991969
0.207039261,0.274483107,0.397617593
0.20610479,0.273902673,0.396051025
0.205187487,0.273335602,0.394497874
0.2042869,0.272781507,0.392958775
0.203402596,0.272240018,0.391434322
0.202534154,0.271710777,0.389925062
0.201681171,0.271193442,0.388431504
0.200843257,0.270687686,0.386954112
0.200020036,0.27019319,0.385493309
0.199211144,0.269709652,0.384049478
0.198416231,0.269236777,0.382622964
0.197634956,0.268774283,0.381214071
0.196866994,0.2683219,0.379823067
0.196112026,0.267879366,0.378450184
0.195369746,0.267446427,0.377095617
0.194639857,0.267022841,0.375759532
0.193922072,0.266608374,0.374442057
0.193216112,0.266202799,0.373143294
0.19252171,0.265805897,0.371863311
0.191838602,0.265417457,0.370602153
0.191166537,0.265037277,0.369359832
0.190505269,0.264665159,0.368136341
