,V4_bck,V4_fig1,V4_fig2
204,0.1631336023920326,0.5027737608790748,0.48244195026903025
205,0.1626428676930687,0.5019024686552269,0.4817636698472902
206,0.16216439255286125,0.5010493056636308,0.48110070271729743
207,0.1616979549600546,0.5002138309312042,0.4804526883099068
208,0.16124333954585665,0.4993956133762754,0.47981926701521266
209,0.16080033728896495,0.49859422839846645,0.47920008172076406
210,0.16036874523471342,0.49780925803210146,0.47859477685872526
211,0.15994836622754163,0.4970402908948415,0.47800299792465767
212,0.15953900865596213,0.49628692185353007,0.47742439185908586
213,0.15914048620926424,0.4955487506232429,0.47685860799096913
214,0.15875261764525442,0.4948253808336576,0.47630529748895994
215,0.15837522656838582,0.49411641945134194,0.47576411307123917
216,0.15800814121767986,0.49342147647154777,0.47523470890724573
217,0.1576511942638878,0.4927401648092113,0.47471674066132763
218,0.15730422261538055,0.4920721003349302,0.47420986578564206
219,0.15696706723229226,0.49141690215219036,0.4737137450635527
220,0.15663957294847702,0.4907741935293432,0.4732280454560721
221,0.15632158830087062,0.4901436018107733,0.47275244020233265
222,0.15601296536587644,0.48952475845484295,0.4722866103528315
223,0.1557135596024231,0.48891729916082766,0.47183024318406025
224,0.1554232297013642,0.48832086405658276,0.47138303110708146
225,0.15514183744091256,0.48773509792125896,0.47094467297240833
226,0.1548692475479438,0.4871596506938251,0.4705148732948119
227,0.1546053275648816,0.48659418081085115,0.47009334249854506
228,0.15434994772180963,0.4860383543098029,0.4696797965996089
229,0.1541029808135755,0.485491845525919,0.46927395837053676
230,0.1538643020816686,0.4849543397147654,0.46887555595436986
231,0.15363378910066536,0.48442553134484684,0.4684843221730372
232,0.15341132166905075,0.4839051232678221,0.4680999955604845
233,0.15319678170423504,0.4833928261544438,0.4677223204474779
234,0.1529900531415968,0.48288835832556115,0.4673510454499972
235,0.15279102183739285,0.4823914455256914,0.4669859233484852
236,0.15259957547538724,0.4819018209277277,0.46662671158324115
237,0.15241560347705885,0.4814192269641357,0.4662731733602943
238,0.15223899691525516,0.4809434144083449,0.465925076804846
239,0.15206964843116916,0.4804741427269186,0.46558219497908565
240,0.15190745215452126,0.4800111792894212,0.46524430549185053
241,0.151752303626837,0.4795542983477911,0.4649111900736578
242,0.1516040997277157,0.47910328033838273,0.46458263447195597
243,0.15146273860399337,0.4786579114128877,0.46425842861970235
244,0.15132811960170572,0.4782179846161518,0.4639383672586251
245,0.15120014320076652,0.4777832998516508,0.4636222501675502
246,0.1510787109522768,0.4773536638720452,0.4633098817918388
247,0.15096372541838915,0.4769288912481507,0.46300107103074895
248,0.15085509011465212,0.47650880342230295,0.46269563113883155
249,0.1507527094547663,0.4760932282390079,0.4623933797076627
250,0.15065648869768522,0.47568199908233977,0.4620941387022055
251,0.15056633389699975,0.47527495429604133,0.4617977345439924
252,0.15048215185254799,0.4748719368819562,0.461504000128967
253,0.15040385006419377,0.4744727958763536,0.46121277567369384
254,0.15033133668772214,0.47407738591430953,0.460923907798726
255,0.15026452049280023,0.47368556664195843,0.4606372498514842
256,0.15020331082295707,0.47329720233201045,0.46035266151046933
257,0.15014761755753564,0.4729121616471019,0.4600700092588858
258,0.15009735107557423,0.4725303175095796,0.45978916560367855
259,0.15005242222157444,0.472151547048029,0.45951000768774514
260,0.15001274227311762,0.47177573158545794,0.4592324171309864
261,0.1499782229102901,0.4714027567560009,0.45895628070641104
262,0.1499487761868824,0.47103251296212917,0.45868149081326287
